รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000001,วัสดุใช้ไป,ขวาน ชนิดเหล็ก แบบด้ามไม้,วัสดุการเกษตร,วัสดุการเกษตร,อัน,200,,0,0,,,TRUE,
P230-000002,วัสดุใช้ไป,ด้ามขวาน ชนิดไม้,วัสดุการเกษตร,วัสดุการเกษตร,อัน,100,,0,0,,,TRUE,
P230-000003,วัสดุใช้ไป,ประกับ สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,230,,0,0,,,TRUE,
P230-000004,วัสดุใช้ไป,มีด ชนิดเหล็ก แบบด้ามไม้,วัสดุการเกษตร,วัสดุการเกษตร,เล่ม,250,,0,0,,,TRUE,
P230-000005,วัสดุใช้ไป,สายเอ็น สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,ม้วน,630,,0,0,,,TRUE,
P230-000006,วัสดุใช้ไป,เข่ง ไม้ไผ่,วัสดุการเกษตร,วัสดุการเกษตร,ใบ,120,,0,0,,,TRUE,
P230-000007,วัสดุใช้ไป,ครัช สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,680,,0,0,,,TRUE,
P230-000008,วัสดุใช้ไป,ถ้วยรองใบมีด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,480,,0,0,,,TRUE,
P230-000009,วัสดุใช้ไป,จานรองประกับใบตัด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,70,,0,0,,,TRUE,
P230-000010,วัสดุใช้ไป,จานสตาร์ท สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,350,,0,0,,,TRUE,
P230-000011,วัสดุใช้ไป,ลูกยางกดน้ำมัน สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,ลูก,50,,0,0,,,TRUE,
P230-000012,วัสดุใช้ไป,โซ่ สำหรับเลื่อยยนต์ ขนาด 11.5 นิ้ว,วัสดุการเกษตร,วัสดุการเกษตร,เส้น,630,,0,0,,,TRUE,
P230-000013,วัสดุใช้ไป,กรรไกร ชนิดตัดต้นไม้ต่ำ สำหรับตัดแต่งกิ่ง,วัสดุการเกษตร,วัสดุการเกษตร,อัน,300,,0,0,,,TRUE,
P230-000014,วัสดุใช้ไป,จาระบี สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,กระปุก,120,,0,0,,,TRUE,
P230-000015,วัสดุใช้ไป,ใบมีด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,100,,0,0,,,TRUE,
P230-000016,วัสดุใช้ไป,เลื่อย ชนิดขอชัก สำหรับตัดแต่งกิ่ง,วัสดุการเกษตร,วัสดุการเกษตร,อัน,300,,0,0,,,TRUE,
P230-000017,วัสดุใช้ไป,สายยาง สำหรับรดน้ำต้นไม้ ขนาด 5/8 นิ้ว,วัสดุการเกษตร,วัสดุการเกษตร,เส้น,360,,0,0,,,TRUE,
P230-000018,วัสดุใช้ไป,สายสะพาย สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,160,,0,0,,,TRUE,
P230-000019,วัสดุใช้ไป,หัวเทียน สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,30,,0,0,,,TRUE,
P230-000020,วัสดุใช้ไป,คีย์บอร์ด แบบ USB,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,320,,1,320,,,TRUE,
P230-000021,วัสดุใช้ไป,ซองใส่ CD แบบใส (50 ซอง/แพค),วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,แพค,70,,9,630,,,TRUE,
P230-000022,วัสดุใช้ไป,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ300,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,170,,8,"1,360.00",,,TRUE,
P230-000023,วัสดุใช้ไป,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ310,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,150,,44,"6,600.00",,,TRUE,
P230-000024,วัสดุใช้ไป,แผ่น CD-R (50 ซอง/แพค),วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หลอด,280,,9,"2,520.00",,,TRUE,
P230-000025,วัสดุใช้ไป,เม้าท์ แบบ USB,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,250,,0,0,,,TRUE,
P230-000026,วัสดุใช้ไป,สาย LAN,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"3,950.00",,0,0,,,TRUE,
P230-000027,วัสดุใช้ไป,หมึก Printer Ink jet GT53 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,5,"1,950.00",,,TRUE,
P230-000028,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,7,"2,730.00",,,TRUE,
P230-000029,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,7,"2,730.00",,,TRUE,
P230-000030,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,7,"2,730.00",,,TRUE,
P230-000031,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,4,"1,400.00",,,TRUE,
P230-000032,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,3,"1,050.00",,,TRUE,
P230-000033,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,2,700,,,TRUE,
P230-000034,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,2,700,,,TRUE,
P230-000035,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000036,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000037,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000038,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000039,วัสดุใช้ไป,ยกเลิก หมึก Printer Ink jet T7741 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,700,,0,0,,,FALSE,
P230-000040,วัสดุใช้ไป,หมึก Printer Laser 107A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,990,,0,0,,,TRUE,
P230-000041,วัสดุใช้ไป,หมึก Printer Laser 225,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,430,,0,0,,,TRUE,
P230-000042,วัสดุใช้ไป,หมึก Printer Laser 30A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,890,,10,"8,900.00",,,TRUE,
P230-000043,วัสดุใช้ไป,หมึก Printer Laser 355,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,670,,0,0,,,TRUE,
P230-000044,วัสดุใช้ไป,หมึก Printer Laser 472,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,980,,6,"5,880.00",,,TRUE,
P230-000045,วัสดุใช้ไป,หมึก Printer Laser 48A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"1,190.00",,0,0,,,TRUE,
P230-000046,วัสดุใช้ไป,หมึก Printer Laser 79A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,690,,0,0,,,TRUE,
P230-000047,วัสดุใช้ไป,หมึก Printer Laser 83A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,390,,4,"1,560.00",,,TRUE,
P230-000048,วัสดุใช้ไป,หมึก Printer Laser 85A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,390,,0,0,,,TRUE,
P230-000049,วัสดุใช้ไป,หมึก Printer Laser Fuji m285Z P235,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,980,,6,"5,880.00",,,TRUE,
P230-000050,วัสดุใช้ไป,ยกเลิก หมึก Printer Laser TN-2060,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,490,,0,0,,,FALSE,
P230-000051,วัสดุใช้ไป,หัว LAN,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"1,400.00",,0,0,,,TRUE,
P230-000052,วัสดุใช้ไป,ยกเลิก Hardisk ชนิด SATA/SSD External ขนาด 1 Tb,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,"1,800.00",,0,0,,,FALSE,
P230-000053,วัสดุใช้ไป,ยกเลิก Hardisk ชนิด Surveillance สำหรับกล้องวงจรปิด (NVR) ขนาด 4 Tb,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,"3,790.00",,0,0,,,FALSE,
P230-000054,วัสดุใช้ไป,ยกเลิก สาย LAN ชนิด CAT5 ขนาด 305 เมตร/กล่อง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"2,750.00",,0,0,,,FALSE,
P230-000055,วัสดุใช้ไป,ยกเลิก หมึก Printer Laser 230A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,890,,0,0,,,FALSE,
P230-000056,วัสดุใช้ไป,ยกเลิก หัว LAN ชนิด CAT5 10 อัน/pack,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,pack,60,,0,0,,,FALSE,
P230-000057,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000058,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,0,0,,,TRUE,
P230-000059,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000060,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000061,วัสดุใช้ไป,"กรวยกระดาษ สำหรับดื่มน้ำ ขนาดบรรจุ 5,000 ใบ",วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ลัง,900,,0,0,,,TRUE,
P230-000062,วัสดุใช้ไป,กระดาษชำระ ขนาดเล็ก,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,6,,156,936,,,TRUE,
P230-000063,วัสดุใช้ไป,กระดาษชำระ ชนิดม้วน แบบ 2 ชั้น ขนาดยาว 300 เมตร,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,65,,25,"1,625.00",,,TRUE,
P230-000064,วัสดุใช้ไป,กระดาษเช็ดมือ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,60,,0,0,,,TRUE,
P230-000065,วัสดุใช้ไป,กระทะไฟฟ้า แบบเคลือบและมีซึ้ง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ชุด,"1,290.00",,0,0,,,TRUE,
P230-000066,วัสดุใช้ไป,กระป๋องฉีดน้ำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,35,,0,0,,,TRUE,
P230-000067,วัสดุใช้ไป,กล่องใส่กระดาษเช็ดมือ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,500,,0,0,,,TRUE,
P230-000068,วัสดุใช้ไป,กล่องใส่สบู่เหลว แบบติดผนัง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,300,,0,0,,,TRUE,
P230-000069,วัสดุใช้ไป,ก้อนดับกลิ่น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ก้อน,35,,65,"2,275.00",,,TRUE,
P230-000070,วัสดุใช้ไป,เกลือเม็ด,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,12,,0,0,,,TRUE,
P230-000071,วัสดุใช้ไป,แก้วน้ำ แบบทรงสูง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,15,,12,180,,,TRUE,
P230-000072,วัสดุใช้ไป,แก้วน้ำ ชนิดพลาสติก ขนาด 4 ออนซ์,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,1,,0,0,,,TRUE,
P230-000073,วัสดุใช้ไป,แก้วน้ำ ชนิดพลาสติก ขนาด 6 ออนซ์,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,1,,"6,750.00","6,750.00",,,TRUE,
P230-000074,วัสดุใช้ไป,แก้วน้ำ ชนิดอลูมิเนียม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,30,,8,240,,,TRUE,
P230-000075,วัสดุใช้ไป,ขวดปั๊ม ชนิดพลาสติก สำหรับใส่น้ำยาแอลกอฮอล์,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ขวด,40,,0,0,,,TRUE,
P230-000076,วัสดุใช้ไป,ขันน้ำ ชนิดพลาสติก แบบมีด้าม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,25,,10,250,,,TRUE,
P230-000077,วัสดุใช้ไป,ข่า,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60,,0,0,,,TRUE,
P230-000078,วัสดุใช้ไป,ขิง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60,,0,0,,,TRUE,
P230-000079,วัสดุใช้ไป,ช้อน ชนิดสแตนเลส แบบสั้น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,โหล,35,,36,"1,260.00",,,TRUE,
P230-000080,วัสดุใช้ไป,เชือก ชนิดปอแก้ว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,50,,27,"1,350.00",,,TRUE,
P230-000081,วัสดุใช้ไป,ด้ามมีดโกน ชนิดพลาสติก แบบปลี่ยนใบมีดได้,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,50,,0,0,,,TRUE,
P230-000082,วัสดุใช้ไป,ด้ามมีดโกน ชนิดพลาสติก แบบใช้แล้วทิ้ง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,35,,118,"4,130.00",,,TRUE,
P230-000083,วัสดุใช้ไป,ตะกร้า ชนิดพลาสติก แบบทรงกลม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,250,,0,0,,,TRUE,
P230-000084,วัสดุใช้ไป,ตะไคร้,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50,,0,0,,,TRUE,
P230-000085,วัสดุใช้ไป,เตา Hotplate แบบใช้ไฟฟ้า ขนาด 9 นิ้ว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ตัว,"4,000.00",,0,0,,,TRUE,
P230-000086,วัสดุใช้ไป,ถังขยะ ชนิดพลาสติก แบบเท้าเหยียบ ขนาด 42 ลิตร,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,890,,0,0,,,TRUE,
P230-000087,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีเขียว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,65,,145,"9,425.00",,,TRUE,
P230-000088,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีเขียว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,65,,250,"16,250.00",,,TRUE,
P230-000089,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีดำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50,,526,"26,300.00",,,TRUE,
P230-000090,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีดำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50,,15,750,,,TRUE,
P230-000091,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 18*22 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60,,0,0,,,TRUE,
P230-000092,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,70,,118,"8,260.00",,,TRUE,
P230-000093,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,70,,80,"5,600.00",,,TRUE,
P230-000094,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีเหลือง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,70,,184,"12,880.00",,,TRUE,
P230-000095,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีเหลือง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60,,105,"6,300.00",,,TRUE,
P230-000096,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 16*18 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60,,0,0,,,TRUE,
P230-000097,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 28*40 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60,,0,0,,,TRUE,
P230-000098,วัสดุใช้ไป,ถุง ชนิดพลาสติก ขนาด 16*26 นิ้ว สีใส,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,75,"3,375.00",,,TRUE,
P230-000099,วัสดุใช้ไป,ถุง ชนิดพลาสติก ขนาด 4.5*7 นิ้ว สีใส,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,146,"6,570.00",,,TRUE,
P230-000100,วัสดุใช้ไป,ถุง ชนิดพลาสติก ขนาด 6*9 นิ้ว สีใส,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,72,"3,240.00",,,TRUE,
P230-000101,วัสดุใช้ไป,ถุง ชนิดพลาสติก ขนาด 8*12 นิ้ว สีใส,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,230,"10,350.00",,,TRUE,
P230-000102,วัสดุใช้ไป,ถุงมือ ชนิด PVC,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,45,,0,0,,,TRUE,
P230-000103,วัสดุใช้ไป,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ L,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,120,,4,480,,,TRUE,
P230-000104,วัสดุใช้ไป,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ M,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,120,,0,0,,,TRUE,
P230-000105,วัสดุใช้ไป,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ L สีเขียว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,120,,0,0,,,TRUE,
P230-000106,วัสดุใช้ไป,ถุงมือ ชนิดยาง เบอร์ L สีส้ม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,45,,4,180,,,TRUE,
P230-000107,วัสดุใช้ไป,ถุงมือ ชนิดยาง เบอร์ M สีส้ม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,45,,9,405,,,TRUE,
P230-000108,วัสดุใช้ไป,ถุงมือ ชนิดยาง แบบอเนกประสงค์ เบอร์ L,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,45,,0,0,,,TRUE,
P230-000109,วัสดุใช้ไป,ถุงมือ ชนิดยาง แบบอเนกประสงค์ เบอร์ M,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,คู่,45,,0,0,,,TRUE,
P230-000110,วัสดุใช้ไป,ถุง ชนิดพลาสติก ขนาด 30*40 นิ้ว สีใส,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,120,,0,0,,,TRUE,
P230-000111,วัสดุใช้ไป,ถุงหิ้ว ชนิดพลาสติก ขนาด 12*24 นิ้ว สีขาว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,81,"3,645.00",,,TRUE,
P230-000112,วัสดุใช้ไป,ถุงหิ้ว ชนิดพลาสติก ขนาด 15*30 นิ้ว สีขาว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,80,"3,600.00",,,TRUE,
P230-000113,วัสดุใช้ไป,ถุงหิ้ว ชนิดพลาสติก ขนาด 8*16 นิ้ว สีขาว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,341,"15,345.00",,,TRUE,
P230-000114,วัสดุใช้ไป,ถุงหิ้ว ชนิดพลาสติก ขนาด 12*26 นิ้ว สีขาว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แพค,45,,90,"4,050.00",,,TRUE,
P230-000115,วัสดุใช้ไป,ที่ตักขยะ ชนิดพลาสติก แบบมีด้ามจับ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,65,,9,585,,,TRUE,
P230-000116,วัสดุใช้ไป,ที่ตักขยะสังกะสี ชนิดสังกะสี แบบมีด้ามจับ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,95,,6,570,,,TRUE,
P230-000117,วัสดุใช้ไป,น้ำมันงาสกัดเย็น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ขวด,300,,0,0,,,TRUE,
P230-000118,วัสดุใช้ไป,น้ำมันมะพร้าว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,90,,0,0,,,TRUE,
P230-000119,วัสดุใช้ไป,น้ำยา สำหรับเช็ดกระจก,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,130,,8,"1,040.00",,,TRUE,
P230-000120,วัสดุใช้ไป,น้ำยา สำหรับซาวผ้า,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,250,,0,0,,,TRUE,
P230-000121,วัสดุใช้ไป,น้ำยา ชนิดสูตรน้ำ สำหรับดันฝุ่น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,370,,13,"4,810.00",,,TRUE,
P230-000122,วัสดุใช้ไป,น้ำยา ชนิดสูตรน้ำมันใส สำหรับดันฝุ่น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,430,,14,"6,020.00",,,TRUE,
P230-000123,วัสดุใช้ไป,น้ำยา สำหรับทำความสะอาดพื้น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,200,,33,"6,600.00",,,TRUE,
P230-000124,วัสดุใช้ไป,น้ำยา สำหรับล้างจาน,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,120,,11,"1,320.00",,,TRUE,
P230-000125,วัสดุใช้ไป,น้ำยา สำหรับล้างมือ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แกลลอน,180,,21,"3,780.00",,,TRUE,
P230-000126,วัสดุใช้ไป,ใบมะกรูด,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50,,0,0,,,TRUE,
P230-000127,วัสดุใช้ไป,ใบมีดโกน แบบ 2 คม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กล่อง,35,,43,"1,505.00",,,TRUE,
P230-000128,วัสดุใช้ไป,ปืนยิงแก๊ส,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,25,,18,450,,,TRUE,
P230-000129,วัสดุใช้ไป,แป้งฝุ่น สำหรับเด็ก ขนาด 180 กรัม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กระป๋อง,35,,23,805,,,TRUE,
P230-000130,วัสดุใช้ไป,แปรง ชนิดทองเหลือง สำหรับขัดพื้น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,120,,4,480,,,TRUE,
P230-000131,วัสดุใช้ไป,แปรง ชนิดพลาสติก สำหรับขัดพื้นแบบมีด้ามยาว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,70,,6,420,,,TRUE,
P230-000132,วัสดุใช้ไป,แปรง ชนิดพลาสติก สำหรับขัดห้องน้ำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,30,,4,120,,,TRUE,
P230-000133,วัสดุใช้ไป,แปรง ชนิดขนอ่อน สำหรับซักผ้า,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,25,,23,575,,,TRUE,
P230-000134,วัสดุใช้ไป,แปรง ชนิดพลาสติก สำหรับล้างขวด,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,25,,0,0,,,TRUE,
P230-000135,วัสดุใช้ไป,ผงซักฟอก ขนาด 800 กรัม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุง,70,,59,"4,130.00",,,TRUE,
P230-000136,วัสดุใช้ไป,ผงซักฟอก สำหรับเครื่องซักผ้า ขนาด 25 กก.,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กก.,"1,050.00",,0,0,,,TRUE,
P230-000137,วัสดุใช้ไป,ผ้าม็อบ สำหรับดันฝุ่น ขนาด 24 นิ้ว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ผืน,200,,0,0,,,TRUE,
