รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000541,วัสดุใช้ไป,แฟ้ม เสนอเซ็นต์ ขนาด F4,วัสดุสำนักงาน,วัสดุสำนักงาน,แฟ้ม,140,,5,700,,,TRUE,
P230-000542,วัสดุใช้ไป,แฟ้ม ชนิดปกพลาสติก แบบหนีบ,วัสดุสำนักงาน,วัสดุสำนักงาน,แฟ้ม,120,,4,480,,,TRUE,
P230-000543,วัสดุใช้ไป,มีดคัตเตอร์ ชนิดด้ามสแตนเลส ขนาดเล็ก,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,35,,34,"1,190.00",,,TRUE,
P230-000544,วัสดุใช้ไป,มีดคัตเตอร์ ชนิดด้ามพลาสติก ขนาดใหญ่,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,25,,42,"1,050.00",,,TRUE,
P230-000545,วัสดุใช้ไป,มีดคัตเตอร์ ชนิดด้ามสแตนเลส ขนาดใหญ่,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,45,,0,0,,,TRUE,
P230-000546,วัสดุใช้ไป,ลวดเย็บกระดาษ เบอร์ 10,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,10,,66,660,,,TRUE,
P230-000547,วัสดุใช้ไป,ลวดเย็บกระดาษ เบอร์ 3,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,15,,0,0,,,TRUE,
P230-000548,วัสดุใช้ไป,ลวดเย็บกระดาษ เบอร์ 35,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,10,,15,150,,,TRUE,
P230-000549,วัสดุใช้ไป,ลวดเย็บกระดาษ เบอร์ 8,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,10,,0,0,,,TRUE,
P230-000550,วัสดุใช้ไป,ลวดเสียบกระดาษ ขนาดเล็ก เบอร์ 1,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,15,,17,255,,,TRUE,
